basic_skills,advanced_skills
AWS EC2,AWS ECS (Elastic Container Service)
Azure Virtual Machines,Azure Kubernetes Service (AKS)
Google Cloud Compute Engine,Google Cloud Run
Pega Case Management,Pega Intelligent Decisioning
Salesforce Classic Reports,Salesforce Einstein Analytics
Data Engineering,DataOps
Azure SQL Database,Azure Cosmos DB
Machine Learning,Deep Learning
AI for Marketing,Customer Behavior Analytics
Data Visualization,Advanced Data Analytics
ETL Processes,Real-Time Data Pipelines
Apache Kafka,Apache Pulsar
NoSQL Databases,Graph Databases
Microservices Architecture,Service Mesh
Kubernetes ConfigMaps,Kubernetes Operators
Salesforce Apex,Salesforce Lightning Web Components
Pega Robotic Automation,Pega RPA
Continuous Integration (CI),Continuous Delivery (CD)
AWS IAM,AWS Cognito
Azure Key Vault,Azure Managed HSM
Google Cloud Identity,Google Cloud Security
Terraform,Terraform Cloud
Salesforce CLI,Salesforce DevOps
Pega Application Designer,Pega Integration Services
Azure Data Lake,Azure Data Catalog
AWS Redshift,AWS Redshift Spectrum
PowerBI,PowerBI Report Server
GitHub Actions,GitLab CI/CD Pipelines
Data Lakes,Data Warehousing Solutions
Machine Learning Model Training,Model Monitoring
Cloud-Native Development,Serverless Frameworks
Salesforce Marketing Cloud,Salesforce Journey Builder
Pega Application Development,Pega Case Management
Google Cloud Dataflow,Google Cloud Dataproc
Azure Synapse Studio,Azure Machine Learning
AWS CodeDeploy,AWS CodePipeline
Salesforce Community Cloud,Salesforce Experience Cloud
Pega Decisioning,Pega AI
Google Cloud Pub/Sub,Google Cloud Functions
Azure Key Vault,Azure Managed HSM
AWS CloudFormation,AWS CDK (Cloud Development Kit)
Salesforce Custom Objects,Salesforce Platform Encryption
Pega Case Management,Pega Agile Studio
Google Cloud AutoML,Google Cloud BigQuery ML
Azure Cognitive Services,Azure AI Builder
AWS S3 Versioning,AWS S3 Transfer Acceleration
Salesforce Lightning Experience,Salesforce Custom Lightning Components
Pega Smart Analytics,Pega Platform
Google Cloud Vertex AI,Google Cloud AI Platform
Azure Data Factory,Azure Data Catalog
AWS Batch,AWS Fargate
Salesforce Service Cloud,Salesforce Field Service
Pega Robotics,Pega Workforce Intelligence
Google Cloud Firestore,Google Cloud Bigtable
Azure Data Lake Storage,Azure Synapse Analytics
AWS IAM Policies,AWS Security Groups
Salesforce Marketing Cloud Journey Builder,Salesforce Social Studio
Pega Platform Integration,Pega Decision Management
Google Cloud Pub/Sub,Google Cloud Storage
Azure AD Connect,Azure AD B2C
AWS CloudTrail,AWS Inspector
Salesforce Platform Encryption,Salesforce Shield
Pega CRM,Pega Sales Automation
Google Cloud SQL,Google Cloud Memorystore
Azure Cognitive Search,Azure AI
AWS RDS Proxy,AWS Aurora Serverless
Salesforce Einstein Analytics,Salesforce CRM Analytics
Pega Decision Management,Pega Case Design
Google Cloud Data Studio,Google BigQuery ML
Azure Machine Learning Pipelines,Azure Synapse Analytics
AWS CloudWatch,AWS X-Ray
Salesforce Service Console,Salesforce Omni-Channel
Pega Application Design,Pega Case Lifecycle Management
Google Cloud Dataflow,Google Cloud Pub/Sub
Azure Cognitive Services,Azure Form Recognizer
AWS Lambda,AWS Step Functions
Salesforce Lightning Components,Salesforce App Builder
Pega Integration Framework,Pega API Management
Google Cloud AutoML,Google Cloud BigQuery
Azure Synapse Analytics,Azure Machine Learning
AWS CodeBuild,AWS CodePipeline
Salesforce Community Cloud,Salesforce Experience Cloud
Pega Smart Automation,Pega Case Management
Google Cloud Vertex AI,Google Cloud AI Platform
Azure Data Lake,Azure Synapse Analytics
AWS Glue,Amazon Athena
Salesforce Field Service,Salesforce Service Cloud
Pega Application Development,Pega Case Management
Google Cloud BigQuery,Google Cloud Data Studio
Azure Machine Learning Designer,Azure Synapse Analytics
AWS CloudFormation,AWS Elastic Beanstalk
Salesforce Lightning Web Components,Salesforce App Builder
Pega Platform Integration,Pega Decision Management
Google Cloud BigQuery,Google Cloud Data Studio
Azure Synapse Analytics,Azure Machine Learning
AWS CodeDeploy,AWS CodeBuild
Salesforce Einstein Vision,Salesforce Einstein Language
Pega Decision Management,Pega Case Management
Google Cloud Firestore,Google Cloud Pub/Sub
Azure Cognitive Services,Azure Text Analytics
AWS Lambda,AWS Step Functions
Salesforce Lightning Web Components,Salesforce App Builder
Pega Platform Integration,Pega Decision Management
Google Cloud Dataflow,Google Cloud Dataproc
Azure AD Connect,Azure AD B2C
AWS CloudTrail,AWS Config
Salesforce Shield,Salesforce Platform Encryption
Pega CRM,Pega Sales Automation
Google Cloud SQL,Google Cloud Memorystore
Azure Cognitive Search,Azure AI
AWS RDS Proxy,AWS Aurora Serverless
Salesforce Marketing Cloud,Salesforce Journey Builder
Pega Decision Management,Pega Case Management
Google Cloud AutoML,Google Cloud AI Platform
Azure Cognitive Services,Azure Form Recognizer
AWS Glue,Amazon Athena
Kubernetes Helm,Helm Charts
Docker,Docker Swarm
GitLab CI/CD,Github Actions
Jenkins,GitHub Actions
Apache Airflow,Apache NiFi
Terraform,Ansible
Puppet,Chef
Ansible Tower,Red Hat Ansible Automation Platform
Kubernetes Operators,Kubernetes Custom Resources
Istio,Linkerd
Prometheus,Grafana
ElasticSearch,ElasticSearch Service
Splunk,Sumo Logic
Datadog,New Relic
Sentry,Rollbar
Jira,Confluence
Selenium,Cypress
Postman,SoapUI
GraphQL,REST API
OpenAPI,Swagger
Apache Kafka Streams,Apache Flink
Redis,Memcached
RabbitMQ,Amazon SQS
Apache Pulsar,Google Cloud Pub/Sub
AWS Aurora,AWS DynamoDB
Azure SQL Database,Azure Cosmos DB
Google Cloud BigQuery,Google Cloud Spanner
TensorFlow,PyTorch
Keras,MXNet
Scikit-learn,StatsModels
NLP,Transformer Models
GPT-3,GPT-4
BERT,RoBERTa
OpenAI Codex,GitHub Copilot
Azure Cognitive Services Text Analytics,Azure Text Analytics
Google Cloud AI Platform,Google Cloud AutoML
AWS SageMaker,Amazon Lex
Salesforce Einstein Vision,Salesforce Einstein Language
Pega Decisioning,Pega Application Design
Google Cloud Data Studio,Google Cloud Dataflow
Azure Synapse Analytics,Azure Data Explorer
AWS Glue DataBrew,AWS Data Pipeline
Jupyter Notebooks,Google Colab
Apache Spark,Databricks
Kubernetes Helm,Helm Charts
AWS Fargate,AWS Lambda
Azure DevOps,GitHub Actions
Google Cloud Build,Google Cloud Source Repositories
Terraform,CloudFormation
Ansible,Chef
Puppet,SaltStack
Docker Compose,Docker Swarm
Kubernetes Pods,Kubernetes Deployments
AWS CodeCommit,AWS CodePipeline
Google Cloud Functions,Google Cloud Run
Azure Functions,Azure Logic Apps
AWS CloudTrail,AWS CloudWatch
Splunk,Sumo Logic
ElasticSearch,Elasticsearch Service
Prometheus,Grafana
Datadog,New Relic
Sentry,Raven
Jira,Asana
Selenium,TestComplete
Postman,Insomnia
GraphQL,RESTful APIs
OpenAPI,Swagger
AWS Step Functions,AWS Lambda
AWS S3,AWS Glacier
Azure Blob Storage,Azure Archive Storage
Google Cloud Storage,Google Cloud Filestore
Pega Basic Automation,Pega AI-Powered Automation
Salesforce Classic UI,Salesforce Lightning Experience
Data Warehousing,Data Mesh
Azure SQL Database,Azure SQL Managed Instance
Machine Learning Algorithms,AutoML
AI for Healthcare,Medical Imaging AI
Business Intelligence Tools,Advanced BI Solutions
ETL Tools,ELT Processes
Apache Kafka,Apache Kafka Streams
NoSQL Databases,Multi-Model Databases
Microservices,Service-Oriented Architecture (SOA)
Kubernetes,Docker Swarm
Salesforce Lightning Design System,Salesforce Lightning Web Components
Pega Robotic Process Automation (RPA),Pega Intelligent RPA
Continuous Integration (CI),Continuous Delivery (CD)
AWS Lambda,AWS Step Functions
Azure Functions,Azure Durable Functions
Google Cloud Functions,Google Cloud Run
Terraform,Terraform Enterprise
Salesforce DX,Salesforce DevOps
Pega Case Management,Pega Smart Analytics
Azure Synapse Analytics,Azure Data Explorer
AWS Redshift Spectrum,AWS Lake Formation
PowerBI,PowerBI Service
GitHub Actions,GitLab CI/CD
Data Engineering,DataOps Automation
Machine Learning Model Training,Model Serving
Cloud-Native Applications,Serverless Architectures
Salesforce Marketing Cloud,Salesforce Data Cloud
Pega Integration Services,Pega Application Development
Google Cloud Dataproc,Google Cloud BigQuery
Azure Data Factory,Azure Synapse Studio
AWS CodeDeploy,AWS CodePipeline
Salesforce Community Cloud,Salesforce Customer 360
Pega Decisioning,Pega Customer Service
Google Cloud Pub/Sub,Google Cloud Dataflow
Azure Key Vault,Azure Active Directory
AWS CloudFormation,AWS CDK (Cloud Development Kit)
Salesforce Shield,Salesforce Platform Encryption
Pega Application Design,Pega Case Lifecycle Management
Google Cloud BigQuery,Google Cloud AutoML
Azure Cognitive Services,Azure AI
AWS Glue,Amazon Redshift Spectrum
Salesforce Lightning Experience,Salesforce Custom Components
Pega Platform Integration,Pega AI
Google Cloud Vertex AI,Google Cloud ML Engine
Azure Data Lake Storage,Azure Data Catalog
AWS Batch,AWS Fargate
Salesforce Service Cloud,Salesforce Field Service
Pega Robotics,Pega Workforce Intelligence
Google Cloud Firestore,Google Cloud SQL
Azure Cognitive Search,Azure AI Builder
AWS RDS Proxy,AWS Aurora Serverless
Salesforce Einstein Analytics,Salesforce CRM Analytics
Pega Decision Management,Pega Case Design
Google Cloud Data Studio,Google BigQuery ML
Azure Machine Learning Pipelines,Azure Synapse Analytics
AWS CloudWatch,AWS X-Ray
Salesforce Service Console,Salesforce Omni-Channel
Pega Application Design,Pega Case Lifecycle Management
Google Cloud Dataflow,Google Cloud Pub/Sub
Azure Cognitive Services,Azure Form Recognizer
AWS Lambda,AWS Step Functions
Salesforce Lightning Components,Salesforce App Builder
Pega Integration Framework,Pega API Management
Google Cloud AutoML,Google Cloud BigQuery
Azure Synapse Analytics,Azure Machine Learning
AWS CodeBuild,AWS CodePipeline
Salesforce Community Cloud,Salesforce Experience Cloud
Pega Smart Automation,Pega Case Management
Google Cloud Vertex AI,Google Cloud AI Platform
Azure Data Lake,Azure Synapse Analytics
AWS Glue,Amazon Athena
Salesforce Field Service,Salesforce Service Cloud
Pega Application Development,Pega Case Management
Google Cloud BigQuery,Google Cloud Data Studio
Azure Machine Learning Designer,Azure Synapse Analytics
AWS CloudFormation,AWS Elastic Beanstalk
Salesforce Lightning Web Components,Salesforce App Builder
Pega Platform Integration,Pega Decision Management
Google Cloud BigQuery,Google Cloud Data Studio
Azure Synapse Analytics,Azure Machine Learning
AWS CodeDeploy,AWS CodeBuild
Salesforce Einstein Vision,Salesforce Einstein Language
Pega Decision Management,Pega Case Management
Google Cloud Firestore,Google Cloud Pub/Sub
Azure Cognitive Services,Azure Text Analytics
AWS Lambda,AWS Step Functions
Salesforce Lightning Web Components,Salesforce App Builder
Pega Platform Integration,Pega Decision Management
Google Cloud Dataflow,Google Cloud Dataproc
Azure AD Connect,Azure AD B2C
AWS CloudTrail,AWS Config
Salesforce Shield,Salesforce Platform Encryption
Pega CRM,Pega Sales Automation
Google Cloud SQL,Google Cloud Memorystore
Azure Cognitive Search,Azure AI
AWS RDS Proxy,AWS Aurora Serverless
Salesforce Marketing Cloud,Salesforce Journey Builder
Pega Decision Management,Pega Case Management
Google Cloud AutoML,Google Cloud AI Platform
Azure Cognitive Services,Azure Form Recognizer
AWS Glue,Amazon Athena
Kubernetes Helm,Helm Charts
Docker,Docker Swarm
GitLab CI/CD,Github Actions
Jenkins,GitHub Actions
Apache Airflow,Apache NiFi
Terraform,Ansible
Puppet,Chef
Ansible Tower,Red Hat Ansible Automation Platform
Kubernetes Operators,Kubernetes Custom Resources
Istio,Linkerd
Prometheus,Grafana
ElasticSearch,ElasticSearch Service
Splunk,Sumo Logic
Datadog,New Relic
Sentry,Rollbar
Jira,Confluence
Selenium,Cypress
Postman,SoapUI
GraphQL,REST API
OpenAPI,Swagger
Apache Kafka Streams,Apache Flink
Redis,Memcached
RabbitMQ,Amazon SQS
Apache Pulsar,Google Cloud Pub/Sub
AWS Aurora,AWS DynamoDB
Azure SQL Database,Azure Cosmos DB
Google Cloud BigQuery,Google Cloud Spanner
TensorFlow,PyTorch
Keras,MXNet
Scikit-learn,StatsModels
NLP,Transformer Models
GPT-3,GPT-4
BERT,RoBERTa
OpenAI Codex,GitHub Copilot
Azure Cognitive Services Text Analytics,Azure Text Analytics
Google Cloud AI Platform,Google Cloud AutoML
AWS SageMaker,Amazon Lex
Salesforce Einstein Vision,Salesforce Einstein Language
Pega Decisioning,Pega Application Design
Google Cloud Data Studio,Google Cloud Dataflow
Azure Synapse Analytics,Azure Data Explorer
AWS Glue DataBrew,AWS Data Pipeline
Jupyter Notebooks,Google Colab
Apache Spark,Databricks
Kubernetes Helm,Helm Charts
AWS Fargate,AWS Lambda
Azure DevOps,GitHub Actions
Google Cloud Build,Google Cloud Source Repositories
Terraform,CloudFormation
Ansible,Chef
Puppet,SaltStack
Docker Compose,Docker Swarm
Kubernetes Pods,Kubernetes Deployments
AWS CodeCommit,AWS CodePipeline
Google Cloud Functions,Google Cloud Run
Azure Functions,Azure Logic Apps
AWS CloudTrail,AWS CloudWatch
Splunk,Sumo Logic
ElasticSearch,Elasticsearch Service
Prometheus,Grafana
Datadog,New Relic
Sentry,Raven
Jira,Asana
Selenium,TestComplete
Postman,Insomnia
GraphQL,RESTful APIs
OpenAPI,Swagger
AWS Step Functions,AWS Lambda
AWS Batch,AWS Fargate
Azure Data Factory,Azure Synapse Analytics
Google Cloud Dataflow,Google Cloud Pub/Sub
Azure Cognitive Search,Azure Text Analytics
AWS Lambda,AWS EventBridge
Google Cloud Functions,Google Cloud Run
Azure Functions,Azure Durable Functions
AWS Amplify,AWS AppSync
Azure Static Web Apps,Azure Front Door
Google Cloud App Engine,Google Cloud Run
AWS Elastic Beanstalk,AWS OpsWorks
Azure App Services,Azure Container Instances
Google Cloud Run,Google Kubernetes Engine
